highway,count,length
construction,110,62384.509
cycleway,8,8747.094
footway,822,59340.077
living_street,71,10742.851
motorway,10,13575.776
motorway_link,4,1324.996
path,16,1469.758
pedestrian,28,4234.735
primary,171,62636.518
primary_link,59,5205.748
residential,3962,599689.298
secondary,249,99505.982
secondary_link,98,8679.577
service,741,121781.786
steps,63,787.589
tertiary,395,140472.799
tertiary_link,51,2558.461
track,83,50582.708
trunk,89,51735.233
trunk_link,92,21514.726
unclassified,246,96152.712
