amenity,count
atm,17
bank,176
bar,2
bicycle_parking,2
bicycle_rental,3
bureau_de_change,11
bus_station,2
cafe,12
car_rental,2
car_wash,4
cinema,2
clinic,36
college,8
community_centre,3
conference_centre,1
courthouse,1
dentist,8
doctors,37
drinking_water,6
events_venue,1
fast_food,27
fire_station,4
food_court,1
fountain,10
fuel,3
hospital,5
ice_cream,4
internet_cafe,1
kindergarten,2
library,6
marketplace,1
motorcycle_parking,2
music_school,5
nursing_home,4
parking,8
pharmacy,62
place_of_worship,59
police,12
post_box,2
post_office,3
pub,1
publication,1
recycling,2
register_office,1
restaurant,54
school,52
social_facility,1
taxi,11
telephone,10
toilets,17
university,1
water_point,1
