,منطقه ۱ شهر تهران,منطقه ۲ شهر تهران,منطقه ۳ شهر تهران,منطقه ۴ شهر تهران,منطقه ۵ شهر تهران,منطقه ۶ شهر تهران,منطقه ۷ شهر تهران,منطقه ۸ شهر تهران,منطقه ۹ شهر تهران,منطقه ۱۰ شهر تهران,منطقه ۱۱ شهر تهران,منطقه ۱۲ شهر تهران,منطقه ۱۳ شهر تهران,منطقه ۱۴ شهر تهران,منطقه ۱۵ شهر تهران,منطقه ۱۶ شهر تهران,منطقه ۱۷ شهر تهران,منطقه ۱۸ شهر تهران,منطقه ۱۹ شهر تهران,منطقه ۲۰ شهر تهران,منطقه ۲۱ شهر تهران,منطقه ۲۲ شهر تهران,percentage
public transport,220.0,144.0,105.0,69.0,129.0,73.0,51.0,25.0,36.0,33.0,49.0,68.0,43.0,19.0,61.0,32.0,31.0,99.0,37.0,50.0,88.0,96.0,100.0
cycling infrastructure,1.0,11.0,1.0,5.0,5.0,5.0,1.0,9.0,2.0,2.0,4.0,0.0,5.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,4.0,6.0,81.82
sidewalks,1340.0,2531.0,1316.0,1432.0,2216.0,1113.0,596.0,512.0,624.0,410.0,641.0,1176.0,583.0,1119.0,1656.0,965.0,393.0,1114.0,935.0,1005.0,1333.0,1670.0,100.0
residential,5947.0,4651.0,4468.0,7598.0,4785.0,1835.0,4259.0,4164.0,1752.0,2904.0,2076.0,4650.0,4743.0,6138.0,5807.0,3536.0,2642.0,4290.0,3987.0,3366.0,4064.0,3757.0,100.0
public safety,24.0,20.0,22.0,26.0,19.0,18.0,15.0,11.0,6.0,6.0,17.0,24.0,6.0,9.0,13.0,4.0,7.0,16.0,10.0,8.0,19.0,14.0,100.0
commercial,596.0,386.0,752.0,465.0,248.0,456.0,288.0,244.0,75.0,115.0,177.0,250.0,187.0,127.0,117.0,63.0,85.0,124.0,74.0,54.0,109.0,112.0,100.0
educational,75.0,104.0,72.0,155.0,84.0,85.0,62.0,77.0,19.0,25.0,23.0,42.0,84.0,49.0,36.0,29.0,49.0,49.0,53.0,31.0,35.0,38.0,100.0
recreational,1959.0,2547.0,1852.0,1928.0,1599.0,1482.0,646.0,407.0,1109.0,1661.0,3054.0,1487.0,754.0,936.0,488.0,468.0,269.0,795.0,608.0,402.0,1900.0,1488.0,100.0
healthcare,404.0,412.0,597.0,416.0,214.0,270.0,141.0,167.0,37.0,82.0,54.0,47.0,125.0,90.0,70.0,40.0,47.0,63.0,46.0,39.0,51.0,70.0,100.0
percentage,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89,100.0,100.0,88.89,88.89,100.0,100.0,100.0,88.89,100.0,100.0,97.98000000000002
